codigo	matricula	fecha_matriculacion
1234197	7619HGZ	40858
1234158	6758HGZ	40858
1234205	5847HGZ	40857
1234333	4586HGZ	40857
1234179	1900HGZ	40856
1234070	2097HGZ	40856
1234044	0644HGZ	40855
1234175	0793HGZ	40855
1234019	9435HGY	40855
1234171	0020HGZ	40855
1234081	7393HGY	40854
1234327	7299HGY	40854
1233996	5149HGY	40854
1234000	5438HGY	40854
1234078	7230HGY	40854
1233998	5920HGY	40854
1234072	4368HGY	40854
1234076	7131HGY	40854
1233979	1021HGY	40851
1420051	3137HGY	40851
1233918	0335HGY	40851
1233833	1172HGY	40851
1233850	1519HGY	40851
1464083	8276HGX	40850
1233702	7384HGX	40850
1233840	7672HGX	40850
1233835	7397HGX	40850
1233987	7394HGX	40850
1233838	7398HGX	40850
1233945	7017HGX	40850
1233853	8009HGX	40850
1233691	6561HGX	40849
1233636	6397HGX	40849
1233688	1124HGX	40847
1233926	7734HGW	40847
1233620	6511HGW	40847
1233629	0235HGX	40847
1233669	9186HGW	40847
1233568	7374HGW	40847
1233678	1130HGX	40847
1233698	6514HGW	40847
1233696	8887HGW	40847
1233674	3228HGW	40844
1233564	8885HGV	40844
1233598	3235HGW	40844
1233615	8899HGV	40844
1233562	8884HGV	40844
1233472	3382HGV	40843
1233556	6584HGV	40843
1233414	3970HGV	40843
1233664	7424HGV	40843
1233502	4106HGV	40843
1233465	4967HGV	40843
1233479	2604HGV	40842
1233393	8672HGT	40842
1419048	2368HGV	40842
1233476	1898HGV	40842
1234460	6734HGT	40841
1233334	4824HGT	40841
1233342	4822HGT	40841
1233530	7287HGT	40841
1233398	5280HGT	40841
1233344	3917HGT	40840
1233340	4188HGT	40840
1233251	1937HGT	40840
1433709	4124HGT	40840
1233241	0693HGT	40837
1233238	0162HGT	40837
1233208	9912HGS	40837
1233177	9971HGS	40837
1233494	4973HGS	40836
1233120	4724HGS	40836
1233118	6132HGS	40836
1233185	6039HGS	40836
1233105	4645HGS	40836
1233181	6159HGS	40836
1233158	6146HGS	40836
1233126	5526HGS	40836
1233050	0920HGS	40835
1233025	2209HGS	40835
1234058	1646HGS	40835
1233041	9367HGR	40835
1488571	0791HGS	40835
1233044	9372HGR	40835
1233036	9374HGR	40835
1233131	2027HGS	40835
1233098	1312HGS	40835
1232982	0327HGS	40835
1233129	2023HGS	40835
1233271	2234HGS	40835
1232956	6146HGR	40834
1233019	6803HGR	40834
1232913	7285HGR	40834
1232859	6147HGR	40834
1232894	3150HGR	40833
1232888	3145HGR	40833
1233028	5102HGR	40833
1233249	5333HGR	40833
1232873	4809HGR	40833
1232881	4776HGR	40833
1232833	4148HGR	40833
1232866	4655HGR	40833
1232793	0773HGR	40830
1232728	9784HGP	40830
1232808	0578HGR	40830
1232875	2037HGR	40830
1232844	2053HGR	40830
1232746	0435HGR	40830
1232717	6233HGP	40829
1232801	8916HGP	40829
1232885	8731HGP	40829
1232660	6453HGP	40829
1232780	8080HGP	40829
1232704	6245HGP	40829
1289047	4098HGP	40827
1232579	1917HGP	40826
1232544	0814HGP	40826
1489431	2332HGP	40826
1232564	0731HGP	40826
1233001	2059HGP	40826
1232571	7525HGN	40823
1232567	9145HGN	40823
1232520	7233HGN	40823
1232577	9487HGN	40823
1418981	7475HGN	40823
1397892	7461HGN	40823
1232517	7277HGN	40823
1232508	5466HGN	40822
1232431	3536HGN	40822
1232435	3729HGN	40822
1233191	3531HGN	40822
1232418	2637HGN	40821
1232339	0196HGN	40821
1232362	0230HGN	40821
1232446	0987HGN	40821
1232539	2642HGN	40821
1232366	0219HGN	40821
1233453	2076HGN	40821
1232449	2077HGN	40821
1232278	0873HGN	40821
1232249	8273HGM	40820
1420057	0017HGN	40820
1232168	4510HGM	40819
1232207	5167HGM	40819
1232171	4440HGM	40819
1232213	4128HGM	40819
1232210	5763HGM	40819
1232101	8347HGL	40816
1232185	0051HGM	40816
1232104	9658HGK	40815
1231995	6543HGK	40815
1232044	5746HGK	40815
1232253	7626HGK	40815
1232047	9705HGK	40815
1232053	5722HGK	40815
1231983	3390HGK	40814
1231940	1111HGK	40814
1231969	0739HGK	40814
1231947	3042HGK	40814
1231916	0956HGK	40814
1231981	0850HGK	40814
1231988	0331HGK	40814
1231964	8122HGJ	40813
1231986	8985HGJ	40813
1231844	6311HGJ	40813
1231962	4715HGJ	40812
1312958	3353HGJ	40812
1231943	4832HGJ	40812
1231921	5196HGJ	40812
1231731	0825HGJ	40809
1231787	8592HGH	40809
1231761	8593HGH	40809
1231791	8591HGH	40809
1231895	1661HGJ	40809
1231817	1048HGJ	40809
1231712	5188HGH	40808
1231709	5199HGH	40808
1231783	7504HGH	40808
1231819	6906HGH	40808
1231738	7501HGH	40808
1398403	6826HGH	40808
1419178	5117HGH	40807
1231701	4383HGH	40807
1395311	4182HGH	40807
1392474	4444HGH	40807
1231605	9165HGG	40806
1231596	9395HGG	40806
1231491	9258HGG	40806
1231566	9415HGG	40806
1231716	9433HGG	40806
1231640	9374HGG	40806
1231573	0379HGH	40806
1231575	0375HGH	40806
1231584	8856HGG	40806
1231626	0275HGH	40806
1231587	8847HGG	40806
1231424	6842HGG	40805
1231463	6614HGG	40805
1231460	6604HGG	40805
1231592	8577HGG	40805
1231493	7476HGG	40805
1231590	8609HGG	40805
1231401	5351HGG	40802
1429815	3775HGG	40802
1231632	5359HGG	40802
1231387	5660HGG	40802
1231392	2102HGG	40801
1231324	0228HGG	40801
1231329	0075HGG	40801
1231336	0063HGG	40801
1231220	0427HGG	40801
1231389	2722HGG	40801
1231333	0855HGG	40801
1231498	1501HGG	40801
1231340	8458HGF	40800
1231228	8176HGF	40800
1231343	8455HGF	40800
1234492	8519HGF	40800
1231196	6294HGF	40799
1231201	6465HGF	40799
1231124	4421HGF	40799
1231174	6269HGF	40799
1231189	6448HGF	40799
1231111	6052HGF	40799
1231338	4526HGF	40799
1231121	4319HGF	40799
1231155	6155HGF	40799
1231106	5475HGF	40799
1231147	6102HGF	40799
1231000	3214HGF	40798
1231135	3210HGF	40798
1231141	2487HGF	40798
1231127	2516HGF	40798
1231030	1998HGF	40798
1231059	2999HGF	40798
1230992	2007HGF	40798
1231053	0085HGF	40795
1230963	9745HGD	40795
1231002	9014HGD	40794
1231063	7310HGD	40794
1231057	8961HGD	40794
1231018	8005HGD	40794
1231065	7298HGD	40794
1230929	5002HGD	40793
1230967	5874HGD	40793
1230953	5799HGD	40793
1230900	6400HGD	40793
1230894	5214HGD	40793
1231023	6275HGD	40793
1230775	2603HGD	40792
1230784	3407HGD	40792
1230896	3605HGD	40792
1230987	3420HGD	40792
1230782	2435HGD	40792
1443226	3067HGD	40792
1230658	0263HGD	40791
1230779	0689HGD	40791
1230647	0013HGD	40791
1230650	9963HGC	40791
1230788	0840HGD	40791
1230665	9027HGC	40788
1230697	9032HGC	40788
1230885	7676HGC	40788
1230799	9035HGC	40788
1231048	7738HGC	40788
1230758	9028HGC	40788
1230371	4428HGC	40787
1230354	3854HGC	40787
1230351	3898HGC	40787
1230492	3631HGC	40787
1230600	5698HGC	40787
1230498	3626HGC	40787
1230504	1299HGC	40786
1230605	9221HGB	40786
1230380	7189HGB	40786
1230378	7148HGB	40786
1230391	6979HGB	40786
1230514	9495HGB	40786
1230388	8014HGB	40786
1230373	4774HGB	40785
1230366	4789HGB	40785
1230358	5602HGB	40785
1230495	5186HGB	40785
1230229	4470HGB	40785
1230137	3167HGB	40785
1230202	2861HGB	40785
1230218	2755HGB	40785
1230263	4359HGB	40785
1230222	2850HGB	40785
1230211	3646HGB	40785
1230208	2757HGB	40785
1230109	0294HGB	40784
1230362	1637HGB	40784
1230756	7508HFZ	40781
1230102	7962HFZ	40781
1230093	9535HFZ	40781
1230067	7420HFZ	40781
1230078	6358HFZ	40780
1230053	6049HFZ	40780
1230019	4533HFZ	40780
1229938	1948HFZ	40779
1229909	2122HFZ	40779
1229900	1932HFZ	40779
1229888	1054HFZ	40778
1447586	0378HFZ	40778
1229866	9031HFY	40777
1229841	7715HFY	40777
1229940	8436HFY	40777
1229905	9146HFY	40777
1230104	6129HFY	40774
1229845	6698HFY	40774
1229717	3797HFY	40773
1229715	1405HFY	40772
1229608	1353HFY	40772
1229640	0149HFY	40771
1229589	9726HFX	40771
1229618	0325HFY	40771
1229785	8337HFX	40767
1230004	8080HFX	40767
1229507	5659HFX	40766
1229703	6010HFX	40766
1229463	4436HFX	40766
1229368	1530HFX	40765
1229389	0510HFX	40765
1229394	6641HFW	40763
1229299	5246HFW	40763
1229313	4405HFW	40760
1229231	2838HFW	40760
1229473	3230HFW	40760
1229267	9532HFV	40759
1229223	0001HFW	40759
1229275	7903HFV	40759
1229168	4040HFV	40758
1229165	4062HFV	40758
1229208	6551HFV	40758
1229302	4508HFV	40758
1229210	6555HFV	40758
1229700	5990HFV	40758
1425426	3930HFV	40758
1229096	0296HFV	40757
1229090	0298HFV	40757
1229175	1330HFV	40757
1229093	2707HFV	40757
1229026	8756HFT	40756
1229018	7223HFT	40756
1229022	6946HFT	40756
1228985	7337HFT	40756
1229037	8592HFT	40756
1229112	7543HFT	40756
1229053	8785HFT	40756
1229098	7458HFT	40756
1229028	7641HFT	40756
1349026	4913HFT	40753
1228967	3305HFT	40753
1229083	4881HFT	40753
1228965	6372HFS	40753
1229533	8086HFS	40753
1228881	9470HFR	40752
1228876	0627HFS	40752
1228879	8610HFR	40752
1228883	8826HFR	40752
1229115	9355HFR	40752
1228961	9625HFR	40752
1228894	6120HFR	40751
1349769	8184HFR	40751
1228807	3500HFR	40751
1228861	6122HFR	40751
1228816	6488HFR	40751
1228727	3557HFR	40751
1228717	4265HFR	40751
1228778	4038HFR	40751
1228672	8533HFP	40750
1228891	0451HFR	40750
1229453	9374HFP	40750
1433198	0749HFR	40750
1228889	0449HFR	40750
1228899	9825HFP	40750
1228683	9807HFP	40750
1228756	3173HFP	40746
1228579	4241HFP	40746
1228550	3072HFP	40746
1228559	1883HFP	40746
1228787	3024HFP	40746
1228603	2999HFP	40746
1228615	9348HFN	40745
1228857	9440HFN	40745
1229627	9579HFN	40745
1228668	9574HFN	40745
1228523	7441HFN	40745
1228526	3892HFN	40744
1228528	3879HFN	40744
1228453	1159HFN	40744
1228532	4604HFN	40744
1353614	4578HFN	40744
1228416	8218HFM	40743
1228440	8883HFM	40743
1228791	9330HFM	40743
1229170	7216HFM	40743
1228554	7807HFM	40743
1228314	7499HFM	40743
1228394	2871HFM	40742
1228293	2883HFM	40742
1228312	3784HFM	40742
1228318	4554HFM	40742
1228352	3482HFM	40742
1228291	9544HFL	40739
1228141	8129HFL	40739
1228157	9010HFL	40739
1487037	9857HFL	40739
1228149	3470HFL	40738
1228228	6790HFL	40738
1228179	6408HFL	40738
1228213	5581HFL	40738
1228218	5585HFL	40738
1228226	4303HFL	40738
1228220	4953HFL	40738
1228182	1678HFL	40737
1228175	1180HFL	40737
1228084	1228HFL	40737
1228145	0755HFL	40737
1228190	9176HFK	40737
1228092	8629HFK	40737
1228163	1789HFL	40737
1228039	8686HFK	40737
1228160	1262HFL	40737
1228059	5591HFK	40736
1228006	4679HFK	40736
1228086	6889HFK	40736
1228076	6621HFK	40736
1228081	5558HFK	40736
1228002	2900HFK	40735
1227907	0260HFK	40735
1228088	2792HFK	40735
1227896	0494HFK	40735
1228014	1104HFK	40735
1227911	1102HFK	40735
1227845	7184HFJ	40732
1227923	7436HFJ	40732
1227928	6645HFJ	40732
1227789	6512HFJ	40732
1228063	7422HFJ	40732
1227914	9286HFJ	40732
1227791	6460HFJ	40732
1227831	7454HFJ	40732
1228154	9210HFJ	40732
1227840	3301HFJ	40731
1227834	2752HFJ	40731
1227814	3390HFJ	40731
1227794	4531HFJ	40731
1227772	6696HFH	40730
1227784	6673HFH	40730
1227629	0444HFH	40729
1227720	2432HFH	40729
1227688	1109HFH	40729
1227530	1029HFH	40729
1227776	2139HFH	40729
1227526	0488HFH	40729
1337076	5663HFG	40728
1227610	8472HFG	40728
1227639	7847HFG	40728
1227615	8499HFG	40728
1227604	8237HFG	40728
1227557	7584HFG	40728
1227918	7427HFG	40728
1228078	7736HFG	40728
1227540	7310HFG	40728
1227433	9487HFF	40725
1227534	2497HFG	40725
1227423	1853HFG	40725
1227436	9229HFF	40725
1227438	9596HFF	40725
1227483	0344HFG	40725
1227902	3316HFG	40725
1227447	9894HFD	40724
1227316	8632HFD	40724
1227441	3355HFF	40724
1227309	8300HFC	40723
1227296	9796HFC	40723
1227302	8178HFC	40723
1227264	2189HFC	40722
1227305	5974HFC	40722
1227324	5086HFC	40722
1227185	7547HFB	40721
1227182	5658HFB	40718
1227149	7569HDZ	40716
1227175	7725HDZ	40716
1227011	9538HDY	40715
1227000	3156HDZ	40715
1227080	2340HDZ	40715
1227082	9563HDY	40715
1227008	6849HDY	40714
1389450	8360HDY	40714
1226926	0931HDY	40711
1226859	0000HDY	40711
1226988	2671HDY	40711
1226813	0014HDY	40711
1226829	0319HDY	40711
1226728	3955HDX	40710
1226748	4629HDX	40710
1384696	7648HDX	40710
1226803	1270HDX	40709
1226823	2079HDX	40709
1226718	9346HDW	40709
1226675	8661HDW	40709
1384050	9004HDW	40709
1226664	4735HDW	40708
1226705	6487HDW	40708
1226657	4936HDW	40708
1226711	6076HDW	40708
1226784	6482HDW	40708
1226660	3920HDW	40708
1226696	6781HDW	40708
1373931	2934HDW	40707
1226662	2905HDW	40707
1226637	2929HDW	40707
1226578	7350HDV	40704
1226614	7346HDV	40704
1226597	7287HDV	40704
1227076	3851HDV	40703
1226531	3128HDV	40703
1226522	3784HDV	40703
1226410	1370HDV	40703
1226421	2061HDV	40703
1226448	9371HDT	40702
1226379	7155HDT	40702
1226606	7581HDT	40702
1226419	9245HDT	40702
1226392	5775HDT	40701
1226402	4969HDT	40701
1226374	5077HDT	40701
1226225	0236HDT	40700
1226257	8846HDS	40700
1226230	0077HDT	40700
1226199	5057HDS	40697
1226260	7654HDS	40697
1226493	6916HDS	40697
1226130	0984HDS	40696
1226128	1630HDS	40696
1226113	9399HDR	40696
1226133	9400HDR	40696
1226120	6120HDR	40695
1226014	5801HDR	40695
1226183	5248HDR	40695
1226115	8144HDR	40695
1226179	9541HDP	40694
