Codigo	Matricula	Fecha Matriculacion	Marca	Modelo	Tipo	Variante	Clasificacion medioambiental	Combustible	Cilindrada	Potencia	Numero de Plazas	Fecha inicio de prestacion del servicio de taxi	Eurotaxi	Regimen Especial de Eurotaxi	Fecha inicio Regimen Especial Eurotaxi	Fecha fin Regimen Especial Eurotaxi	Fecha
1525628	9259KPW	15/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	17/10/18	NO	NO			3/11/18
1526885	1054KPX	15/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1525639	1862KPX	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	19/10/18	NO	NO			3/11/18
1526986	2834KPX	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1525626	9197KPW	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525616	9090KPW	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1526887	1626KPX	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	19/10/18	NO	NO			3/11/18
1527196	1234KPX	15/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1525607	1691KPX	15/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	17/10/18	NO	NO			3/11/18
1527563	6432KPW	11/10/18	CITROEN	CITROEN GC4 PICASSO	3	AHNY	ECO	GASOLINA TRANSFORMADO GLP	1199	96	5	31/10/18	NO	NO			3/11/18
1525611	6731KPW	11/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	17/10/18	NO	NO			3/11/18
1525443	4025KPW	11/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	15/10/18	NO	NO			3/11/18
1525642	8640KPW	11/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1525613	4522KPW	11/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	17/10/18	NO	NO			3/11/18
1525622	8083KPW	11/10/18	FIAT	FIAT TIPO	356	SXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1526796	5129KPW	11/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	19/10/18	NO	NO			3/11/18
1525533	8647KPW	11/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	19/10/18	NO	NO			3/11/18
1525624	8099KPW	11/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525631	6434KPW	11/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525457	4393KPW	11/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525465	9546KPV	10/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	15/10/18	NO	NO			3/11/18
1526800	1477KPW	10/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1525609	0844KPW	10/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	17/10/18	NO	NO			3/11/18
1527198	2326KPW	10/10/18	LEXUS	IS300h	XE2(a)	AVE30(E)	ECO	GASOLINA-ELECTRICIDAD	2494	133	5	24/10/18	NO	NO			3/11/18
1525541	9796KPV	10/10/18	LEXUS	IS300h	XE2(a)	AVE30(E)	ECO	GASOLINA-ELECTRICIDAD	2494	133	5	17/10/18	NO	NO			3/11/18
1526927	0330KPW	10/10/18	SSANGYONG	XLV	XK	BV2L	ECO	GASOLINA TRANSFORMADO GLP	1597	94.1	5	22/10/18	NO	NO			3/11/18
1525344	9260KPV	10/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	15/10/18	NO	NO			3/11/18
1525539	9698KPV	10/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525355	5520KPV	9/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	11/10/18	NO	NO			3/11/18
1525467	5459KPV	9/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	22/10/18	NO	NO			3/11/18
1525635	5789KPV	9/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	17/10/18	NO	NO			3/11/18
1525367	8412KPV	9/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	11/10/18	NO	NO			3/11/18
1525260	1254KPV	8/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	10/10/18	NO	NO			3/11/18
1525360	2546KPV	8/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	11/10/18	NO	NO			3/11/18
1525352	0749KPV	8/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	11/10/18	NO	NO			3/11/18
1525358	0761KPV	8/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	11/10/18	NO	NO			3/11/18
1525238	1301KPV	8/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	10/10/18	NO	NO			3/11/18
1525181	6527KPT	5/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	10/10/18	NO	NO			3/11/18
1525258	0101KPV	5/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	10/10/18	NO	NO			3/11/18
1525459	6595KPT	5/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	15/10/18	NO	NO			3/11/18
1525187	0183KPV	5/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	15/10/18	NO	NO			3/11/18
1525157	8053KPT	5/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	15/10/18	NO	NO			3/11/18
1526849	7790KPT	5/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	26/10/18	NO	NO			3/11/18
1525178	7003KPT	5/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	10/10/18	NO	NO			3/11/18
1525349	6637KPT	5/10/18	SSANGYONG	XLV	XK	BV2L	ECO	GASOLINA TRANSFORMADO GLP	1597	94.1	5	19/10/18	NO	NO			3/11/18
1525255	5899KPT	4/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	10/10/18	NO	NO			3/11/18
1525185	2435KPT	4/10/18	LEXUS	IS300h	XE2(a)	AVE30(E)	ECO	GASOLINA-ELECTRICIDAD	2494	133	5	10/10/18	NO	NO			3/11/18
1524991	8223KPS	3/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	5/10/18	NO	NO			3/11/18
1525173	9511KPS	3/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	10/10/18	NO	NO			3/11/18
1525463	1459KPT	3/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	15/10/18	NO	NO			3/11/18
1525109	9438KPS	3/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	8/10/18	NO	NO			3/11/18
1524995	9624KPS	3/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1525094	8767KPS	3/10/18	FORD	MONDEO HIBRIDO	BA7-HEV	UACC1DZ	ECO	GASOLINA-ELECTRICIDAD	1999	103	5	8/10/18	NO	NO			3/11/18
1524993	8108KPS	3/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	22/10/18	NO	NO			3/11/18
1525106	8466KPS	3/10/18	VOLKSWAGEN	CADDY	2K	AFDFSB??	C	DIESEL	1968	75	de 5+1PMR a 7 plazas (*)	15/10/18	SI	SI	17/10/18	11/7/23	3/11/18
1525028	5617KPS	2/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	5/10/18	NO	NO			3/11/18
1524928	7299KPS	2/10/18	FIAT	FIAT TIPO	356	SXF1B	ECO	GLP / GASOLINA	1368	88	5	8/10/18	NO	NO			3/11/18
1524910	5765KPS	2/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	5/10/18	NO	NO			3/11/18
1525090	6524KPS	2/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	8/10/18	NO	NO			3/11/18
1524918	4277KPS	2/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	5/10/18	NO	NO			3/11/18
1524914	5579KPS	2/10/18	SEAT	LEON ST	5F	FCPWAX0V	ECO	GASOLINA - GAS NATURAL	1395	81	5	17/10/18	NO	NO			3/11/18
1524977	7544KPS	2/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	5/10/18	NO	NO			3/11/18
1524999	4543KPS	2/10/18	VOLKSWAGEN	CADDY	2K	AFDFSD??	C	DIESEL	1968	75	de 5+1PMR a 7 plazas (*)	19/10/18	SI	SI	19/10/18	11/7/23	3/11/18
1524907	5472KPS	2/10/18	VOLKSWAGEN	CADDY	2K	AFDFSD??	C	DIESEL	1968	75	de 5+1PMR a 7 plazas (*)	26/10/18	SI	NO			3/11/18
