Codigo	Matricula
1510276	2029KKC
1510274	1742KKC
1510469	1020KKC
1510327	6264KKC
1510730	1455KKC
1510255	5468KKB
1510395	8746KKB
1510260	9247KKB
1510444	8633KKB
1510279	6034KKB
1510240	5822KKB
1510263	9927KKB
1510250	5265KKB
1510423	5707KKB
1510333	2432KKB
1510139	8326KJZ
1510587	9267KJZ
1510668	8218KJZ
1510142	8256KJZ
1510739	3177KKB
1510136	8638KJZ
1510556	3188KKB
1510127	4365KKB
1510330	3171KKB
1510001	8236KJZ
1510954	1233KKB
1510130	3759KJZ
1510253	5893KJZ
1510076	7717KJZ
1510672	5711KJZ
1510065	3611KJZ
1510246	4949KJZ
1510949	4126KJZ
1510061	3499KJZ
1510058	3483KJZ
1512442	3510KJZ
1510085	3137KJZ
1510070	8087KJY
1509966	8129KJY
1511302	3222KJZ
1510067	8097KJY
1510073	2669KJZ
1509968	8115KJY
1510146	9996KJY
1509964	1070KJZ
1510083	1712KJZ
1509959	8168KJY
1510081	8068KJY
1510210	4626KJY
1509885	3152KJY
1509888	7389KJY
1509957	6466KJY
1510244	4561KJY
1509755	2980KJY
1509761	8547KJX
1509883	0586KJY
1509951	2935KJY
1509759	2930KJY
1509880	9678KJX
1509890	1375KJY
1509876	4052KJX
1509751	6599KJX
1509665	4121KJX
1509753	7735KJX
1509733	4077KJX
1509987	7777KJX
1509757	5619KJX
1509746	8335KJX
1509662	4450KJX
1509552	3489KJX
1509584	1949KJX
1509581	2872KJX
1509577	2437KJX
1510132	8774KJW
1510079	2394KJX
1509496	6437KJW
1509564	5184KJW
1511083	4904KJW
1510838	5097KJW
1509493	4939KJW
1509450	5115KJW
1509667	7543KJW
1509397	4229KJW
1509299	2058KJW
1509420	2264KJW
1509417	2318KJW
1509651	2252KJW
1509347	0433KJW
1510452	1382KJW
1509670	0987KJW
1509216	4040KJS
1509218	3919KJS
1509748	1124KJT
1509220	3853KJS
1509296	3744KJS
1509214	2450KJT
1509426	6177KJS
1509223	4144KJS
1512162	6495KJS
1509109	8126KJP
1509174	7715KJP
1509130	9625KJP
1509126	7000KJP
1509043	5027KJN
1509056	6771KJN
1509294	4635KJN
1509345	1763KJP
1509674	4544KJN
1508963	3785KJM
1509048	2589KJN
1508967	3957KJM
1509051	9250KJM
1509301	2588KJN
1508933	3597KJM
1508965	5782KJM
1508969	0729KJN
1509312	1281KJN
1509040	8982KJL
1508898	4816KJL
1509291	5149KJL
1508730	6807KJK
1508886	6857KJK
1508740	8993KJK
1508888	6628KJK
1508754	6285KJK
1510726	3582KJK
1510417	8168KJK
1508681	5219KJK
1508765	0855KJL
1508767	4840KJK
1509304	6149KJK
1509053	7371KJK
1508744	1220KJL
1508735	3098KJK
1508895	4763KJK
1508597	0827KJK
1508733	5773KJJ
1508516	8047KJJ
1508738	6311KJJ
1508599	5490KJJ
1508891	6839KJJ
1508881	7995KJJ
1508602	0380KJK
1508492	1024KJJ
1508490	9077KJH
1508564	0790KJJ
1508566	0772KJJ
1509490	2408KJJ
1508605	9140KJH
1508472	3549KJJ
1508529	9024KJH
1508527	8812KJH
1508751	2083KJJ
1508476	1556KJH
1508410	4960KJH
1508467	3668KJH
1509736	7108KJH
1508501	8607KJH
1509422	8346KJH
1508510	6195KJH
1508562	5905KJH
1508415	8433KJH
1508518	1577KJH
1508487	6692KJH
1508408	1648KJH
1508406	2394KJH
1508420	8405KJH
1509307	8302KJH
1508364	9392KJG
1508348	9268KJG
1508216	4086KJG
1508219	4056KJG
1508345	4096KJG
1508485	8728KJG
1508356	0150KJH
1508417	4214KJG
1508227	7388KJF
1508243	0312KJG
1508241	0362KJG
1508233	3534KJG
1508413	3555KJG
1508343	2215KJG
1508085	3389KJF
1508158	4946KJF
1508198	4745KJF
1509310	5944KJF
1508252	1446KJF
1508746	5162KJF
1508062	9879KJD
1508224	5516KJD
1508361	7018KJD
1508007	8873KJD
1508067	9518KJD
1508247	5675KJD
1508483	0255KJF
1508069	7427KJD
1508013	0609KJD
1507928	0194KJD
1507926	9356KJC
1508019	9574KJC
1508016	9386KJC
1508011	3970KJC
1508025	5785KJC
1507901	8445KJC
1508004	5120KJC
1508002	5256KJC
1507866	7078KJC
1508042	8547KJC
1507892	3818KJC
1507856	1257KJC
1510234	7085KJB
1507798	2490KJC
1507779	2798KJC
