codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1163021	4012GSF	2009-12-07	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2009-12-10	FALSE	FALSE			2018-11-03	
1162807	8480GSD	2009-12-04	VOLKSWAGEN	PASSAT	3C	AACBABX0/FM6***********	B	DIESEL	1968	103	5	2009-12-07	FALSE	FALSE			2018-11-03	
1162721	2615GSD	2009-12-03	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-04	FALSE	FALSE			2018-11-03	
1162818	2443GSD	2009-12-03	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-07	FALSE	FALSE			2018-11-03	
1162587	9645GSC	2009-12-02	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-03	FALSE	FALSE			2018-11-03	
1162713	9788GSC	2009-12-02	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-04	FALSE	FALSE			2018-11-03	
1162718	9951GSC	2009-12-02	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-04	FALSE	FALSE			2018-11-03	
1162716	7745GSC	2009-12-02	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-04	FALSE	FALSE			2018-11-03	
1162596	9998GSC	2009-12-02	VOLKSWAGEN	PASSAT	3C	AACBABX0/FD6******	B	DIESEL	1968	103	5	2009-12-03	FALSE	FALSE			2018-11-03	
1162830	5182GSC	2009-12-01	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-07	FALSE	FALSE			2018-11-03	
1162563	4931GSC	2009-12-01	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-03	FALSE	FALSE			2018-11-03	
1162485	3322GSC	2009-12-01	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-02	FALSE	FALSE			2018-11-03	
1162579	4927GSC	2009-12-01	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-03	FALSE	FALSE			2018-11-03	
1162712	5028GSC	2009-12-01	SKODA	OCTAVIA	1Z	ACBXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-04	FALSE	FALSE			2018-11-03	
1162343	4979GSB	2009-11-30	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-01	FALSE	FALSE			2018-11-03	
1385261	0147GSC	2009-11-30	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2015-07-03	FALSE	FALSE			2018-11-03	
1162292	4987GRZ	2009-11-27	SKODA	SUPERB	3T	AABMPX01/NFD6*******	B	DIESEL	1968	103	5	2009-11-30	FALSE	FALSE			2018-11-03	
1162170	9269GRY	2009-11-27	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-27	FALSE	FALSE			2018-11-03	
1163332	8163GRY	2009-11-26	SEAT	ALTEA XL	5P	ACBXEX01/SGNFM5	B	DIESEL	1896	77	5	2009-12-14	FALSE	FALSE			2018-11-03	
1162237	1766GRY	2009-11-26	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-30	FALSE	FALSE			2018-11-03	
1162227	4621GRY	2009-11-26	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-30	FALSE	FALSE			2018-11-03	
1162160	0111GRY	2009-11-25	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-11-27	FALSE	FALSE			2018-11-03	
1162173	0077GRY	2009-11-25	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-27	FALSE	FALSE			2018-11-03	
1162019	8672GRX	2009-11-25	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-26	FALSE	FALSE			2018-11-03	
1162148	5236GRX	2009-11-25	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-11-27	FALSE	FALSE			2018-11-03	
